,Name,ID Num,Item Slot,Armor,Strength,Agility,Stamina,Crit,Hit,Attack Power,Haste,Armor Pen,Expertise,Defense,Dodge,Parry,Socket Bonus Type,Socket Bonus Amount,Wep Type,Wep Min Damage,Wep Max Damage,Wep Speed,Phase,Heroic
17,Furious Gladiator's Pendant of Triumph,42034,Neck,0,0,0,94,42,0,126,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
18,Furious Gladiator's Pendant of Victory,42035,Neck,0,0,0,94,0,42,126,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
19,Relentless Gladiator's Pendant of Triumph,42041,Neck,0,0,0,114,50,0,151,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,3,False
20,Relentless Gladiator's Pendant of Victory,42042,Neck,0,0,0,114,0,50,151,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,3,False
21,Deadly Gladiator's Cloak of Triumph,42067,Back,154,0,0,84,38,0,112,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,1,False
22,Deadly Gladiator's Cloak of Victory,42068,Back,154,0,0,84,0,38,112,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,1,False
23,Furious Gladiator's Cloak of Triumph,42074,Back,157,0,0,94,42,0,126,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
24,Furious Gladiator's Cloak of Victory,42075,Back,157,0,0,94,0,42,126,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
25,Relentless Gladiator's Cloak of Triumph,42081,Back,166,0,0,114,50,0,151,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,3,False
26,Relentless Gladiator's Cloak of Victory,42082,Back,166,0,0,114,0,50,151,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,3,False
27,Deadly Gladiator's Band of Victory,42115,Finger,0,0,0,84,0,38,112,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,1,False
28,Furious Gladiator's Band of Triumph,42117,Finger,0,0,0,94,42,0,126,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
29,Relentless Gladiator's Band of Victory,42119,Finger,0,0,0,114,0,50,151,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,3,False
30,Strength of the Automaton,45106,Finger,0,72,0,72,46,0,0,0,36,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
31,Iron Riveted War Helm,45107,Head,1908,105,0,129,0,60,0,68,0,0,0,0,0,Hit Rating,8,Non-Wep,0,0,0,2,False
32,Mechanist's Bindings,45108,Wrist,259,0,63,63,39,0,84,44,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
33,Gloves of the Fiery Behemoth,45109,Hands,821,0,84,67,0,0,114,56,45,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
34,Titanguard,45110,One-Hand,0,37,0,78,0,29,0,0,0,0,35,0,33,Stamina,0,Sword,200,372,1.60,2,False
35,Mimiron's Inferno Couplings,45111,Wrist,1027,46,0,94,0,36,0,0,0,0,39,44,0,Stamina,0,Non-Wep,0,0,0,2,False
36,The Leviathan's Coil,45112,Finger,448,63,0,94,0,0,0,0,0,0,32,34,0,Stamina,0,Non-Wep,0,0,0,2,False
37,Golden Saronite Dragon,45132,Main Hand,0,0,32,48,0,40,94,32,0,0,0,0,0,Hit Rating,4,Fist Weapon,406,610,2.70,2,False
38,Plated Leggings of Ruination,45134,Legs,2117,122,0,145,85,0,0,62,0,0,0,0,0,Strength,8,Non-Wep,0,0,0,2,False
39,Drape of the Drakerider,45138,Back,157,72,0,72,46,0,0,0,36,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
40,Dragonslayer's Brace,45139,Waist,1321,84,0,127,0,0,0,0,0,0,44,0,0,Stamina,0,Non-Wep,0,0,0,2,False
41,Proto-hide Leggings,45141,Legs,517,0,105,99,86,0,148,0,0,57,0,0,0,Attack Power,8,Non-Wep,0,0,0,2,False
42,Remorse,45142,One-Hand,0,0,52,51,0,0,74,34,0,29,0,0,0,Stamina,0,Sword,187,349,1.50,2,False
43,Saronite Mesh Legguards,45143,Legs,1150,0,97,118,58,0,146,0,60,0,0,0,0,Agility,6,Non-Wep,0,0,0,2,False
44,Sigil of Deflection,45144,Relic,0,0,0,0,0,0,0,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
45,Cindershard Ring,45157,Finger,0,0,63,54,0,42,84,0,46,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
46,Heart of Iron,45158,Trinket,0,0,0,162,0,0,0,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
47,Girdle of Embers,45161,Waist,1321,98,0,96,60,0,0,0,49,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
48,Flamestalker Boots,45162,Feet,406,0,85,73,62,0,112,56,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
49,Helm of the Furnace Master,45164,Head,1067,0,67,88,60,0,194,51,0,0,0,0,0,Critical Strike Rating,8,Non-Wep,0,0,0,2,False
50,Worldcarver,45165,Two-Hand,0,137,0,136,0,0,0,70,0,87,0,0,0,Stamina,0,Axe,632,949,3.40,2,False
51,Charred Saronite Greaves,45166,Feet,1614,62,0,127,0,49,0,0,0,0,55,57,0,Stamina,0,Non-Wep,0,0,0,2,False
52,Insurmountable Fervor,45193,Neck,0,72,0,72,46,0,0,36,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
53,Drape of the Lithe,45224,Back,157,0,63,63,0,36,84,46,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
54,Steelbreaker's Embrace,45225,Chest,2348,121,0,129,82,0,0,0,0,58,0,0,0,Strength,4,Non-Wep,0,0,0,2,False
55,Iron-studded Mantle,45227,Shoulder,985,0,60,73,0,44,170,0,46,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
56,Handguards of the Enclave,45228,Hands,1467,84,0,127,0,0,0,0,0,0,45,0,0,Stamina,0,Non-Wep,0,0,0,2,False
57,Runed Ironhide Boots,45232,Feet,406,0,77,90,0,0,98,0,49,56,0,0,0,Agility,4,Non-Wep,0,0,0,2,False
58,Stormrune Edge,45233,Two-Hand,0,0,121,120,86,0,160,0,70,0,0,0,0,Stamina,0,Sword,632,949,3.40,2,False
59,Belt of Colossal Rage,45241,Waist,1361,93,0,108,64,47,0,0,0,0,0,0,0,Strength,6,Non-Wep,0,0,0,2,False
60,Greaves of Swift Vengeance,45244,Feet,931,0,69,55,42,42,114,0,0,0,0,0,0,Agility,6,Non-Wep,0,0,0,2,False
61,Shoulderpads of the Intruder,45245,Shoulder,457,0,87,96,0,55,122,0,0,47,0,0,0,Agility,6,Non-Wep,0,0,0,2,False
62,Signet of the Earthshaker,45247,Finger,0,63,0,94,0,0,0,0,0,0,33,0,0,Stamina,0,Non-Wep,0,0,0,2,False
63,Clockwork Legplates,45248,Legs,2054,121,0,129,0,62,0,0,78,0,0,0,0,Strength,4,Non-Wep,0,0,0,2,False
64,Brass-lined Boots,45249,Feet,903,0,85,66,0,0,114,43,57,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
65,Crazed Construct Ring,45250,Finger,0,72,0,72,0,41,0,42,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
66,Shoulderplates of the Deconstructor,45251,Shoulder,1761,84,0,127,0,43,0,0,0,0,47,44,0,Stamina,0,Non-Wep,0,0,0,2,False
67,Sigil of the Vengeful Heart,45254,Relic,0,0,0,0,0,0,0,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
68,Necklace of Unerring Mettle,45262,Neck,0,63,0,94,0,0,0,0,0,0,42,0,0,Stamina,0,Non-Wep,0,0,0,2,False
69,Wrathstone,45263,Trinket,0,0,0,0,108,0,0,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
70,Decimator's Armguards,45264,Wrist,1027,72,0,72,0,36,0,0,46,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
71,Shoulderpads of the Monolith,45265,Shoulder,443,0,77,73,48,0,112,62,0,0,0,0,0,Attack Power,8,Non-Wep,0,0,0,2,False
72,Malice,45266,One-Hand,0,0,52,51,37,0,76,29,0,0,0,0,0,Stamina,0,Sword,313,582,2.50,2,False
73,Saronite Plated Legguards,45267,Legs,2880,113,0,147,0,0,0,0,0,0,52,51,0,Defense Rating,6,Non-Wep,0,0,0,2,False
74,Ironsoul,45282,Two-Hand,0,105,0,126,69,0,0,0,84,0,0,0,0,Stamina,0,Mace,594,892,3.50,2,False
75,Flamewatch Armguards,45283,Wrist,1016,47,0,88,0,28,0,0,0,0,43,35,0,Stamina,0,Non-Wep,0,0,0,2,False
76,Kinetic Ripper,45284,Off Hand,0,0,46,38,0,22,70,34,0,0,0,0,0,Stamina,0,Fist Weapon,171,318,1.50,2,False
77,Might of the Leviathan,45285,Neck,0,68,0,67,0,34,0,0,43,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
78,Pyrite Infuser,45286,Trinket,0,0,0,0,0,95,0,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
79,Gilded Steel Legplates,45295,Legs,2054,81,0,159,0,0,0,0,0,66,71,0,68,Dodge Rating,4,Non-Wep,0,0,0,2,False
80,Razorscale Talon,45298,One-Hand,0,0,36,51,33,0,90,20,0,0,0,0,0,Stamina,0,Sword,297,552,2.60,2,False
81,Dragonsteel Faceplate,45299,Head,1886,97,0,120,71,0,0,0,46,0,0,0,0,Haste Rating,8,Non-Wep,0,0,0,2,False
82,Mantle of Fiery Vengeance,45300,Shoulder,985,0,57,63,56,0,108,0,41,0,0,0,0,Critical Strike Rating,4,Non-Wep,0,0,0,2,False
83,Bracers of the Smothering Inferno,45301,Wrist,568,0,43,59,0,40,92,0,29,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
84,Treads of the Invader,45302,Feet,402,0,79,69,60,0,114,40,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
85,Band of Draconic Guile,45303,Finger,0,0,59,63,0,0,70,35,43,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
86,Stormtempered Girdle,45304,Waist,1306,56,0,119,0,45,0,0,0,0,57,46,0,Stamina,0,Non-Wep,0,0,0,2,False
87,Gauntlets of the Iron Furnace,45310,Hands,1451,59,0,117,0,0,0,0,43,0,48,56,0,Stamina,0,Non-Wep,0,0,0,2,False
88,Relentless Edge,45311,Two-Hand,0,0,65,111,76,0,212,62,0,0,0,0,0,Stamina,0,Polearm,543,815,3.20,2,False
89,Gloves of Smoldering Touch,45312,Hands,365,0,83,63,53,0,112,48,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
90,Furnace Stone,45313,Trinket,0,0,0,0,0,0,0,0,0,0,0,105,0,Stamina,0,Non-Wep,0,0,0,2,False
91,Stonerender,45315,One-Hand,0,0,51,51,30,0,68,38,0,0,0,0,0,Stamina,0,Mace,187,349,1.50,2,False
92,Drape of Fuming Anger,45318,Back,155,68,0,67,30,0,0,46,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
93,Cloak of the Makers,45319,Back,157,46,0,94,0,36,0,0,0,0,43,41,0,Stamina,0,Non-Wep,0,0,0,2,False
94,Shoulderplates of the Eternal,45320,Shoulder,1761,90,0,96,60,41,0,0,0,0,0,0,0,Strength,4,Non-Wep,0,0,0,2,False
95,Cloak of the Iron Council,45322,Back,155,49,0,90,0,0,0,0,0,26,32,0,0,Stamina,0,Non-Wep,0,0,0,2,False
96,Leggings of Swift Reflexes,45324,Legs,511,0,106,92,53,0,162,76,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
97,Gloves of the Stonereaper,45325,Hands,369,0,77,84,0,65,112,0,41,0,0,0,0,Agility,4,Non-Wep,0,0,0,2,False
98,Platinum Band of the Aesir,45326,Finger,0,42,0,94,0,0,0,0,0,42,46,36,0,Stamina,0,Non-Wep,0,0,0,2,False
99,Circlet of True Sight,45329,Head,1056,0,70,95,42,60,156,0,0,0,0,0,0,Critical Strike Rating,8,Non-Wep,0,0,0,2,False
100,Greaves of Iron Intensity,45330,Feet,1596,91,0,90,45,56,0,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
101,Rune-Etched Nightblade,45331,One-Hand,0,0,46,50,32,0,56,0,26,0,0,0,0,Stamina,0,Sword,160,297,1.40,2,False
102,Unbreakable Chestguard,45334,Chest,2348,105,0,159,0,0,0,0,0,0,60,0,0,Stamina,9,Non-Wep,0,0,0,2,False
103,Valorous Darkruned Chestguard,45335,Chest,2322,90,0,135,0,0,0,0,0,0,60,55,49,Parry Rating,6,Non-Wep,0,0,0,1,False
104,Valorous Darkruned Faceguard,45336,Head,1886,81,0,135,0,37,0,0,0,0,65,53,0,Dodge Rating,8,Non-Wep,0,0,0,1,False
105,Valorous Darkruned Handguards,45337,Hands,1451,57,0,119,0,0,0,0,0,36,47,0,52,Dodge Rating,4,Non-Wep,0,0,0,1,False
106,Valorous Darkruned Legguards,45338,Legs,2032,71,0,135,0,0,0,0,0,54,62,0,76,Stamina,9,Non-Wep,0,0,0,1,False
107,Valorous Darkruned Pauldrons,45339,Shoulder,1741,62,0,119,0,0,0,0,0,0,41,45,36,Dodge Rating,4,Non-Wep,0,0,0,1,False
108,Valorous Darkruned Battleplate,45340,Chest,2322,105,0,120,71,0,0,0,0,51,0,0,0,Critical Strike Rating,6,Non-Wep,0,0,0,1,False
109,Valorous Darkruned Gauntlets,45341,Hands,1451,83,0,90,39,52,0,0,0,0,0,0,0,Hit Rating,4,Non-Wep,0,0,0,1,False
110,Valorous Darkruned Helmet,45342,Head,1886,97,0,120,65,0,0,0,45,0,0,0,0,Critical Strike Rating,8,Non-Wep,0,0,0,1,False
111,Valorous Darkruned Legplates,45343,Legs,2032,105,0,120,65,0,0,60,0,0,0,0,0,Strength,6,Non-Wep,0,0,0,1,False
112,Valorous Darkruned Shoulderplates,45344,Shoulder,1741,83,0,90,0,41,0,52,0,0,0,0,0,Hit Rating,4,Non-Wep,0,0,0,1,False
113,"Sorthalis, Hammer of the Watchers",45442,One-Hand,0,40,0,70,0,0,0,0,0,32,29,0,36,Stamina,6,Mace,210,392,1.60,2,False
114,Gloves of the Steady Hand,45444,Hands,846,0,79,75,55,50,106,0,0,0,0,0,0,Agility,6,Non-Wep,0,0,0,2,False
115,The Masticator,45449,Main Hand,0,0,42,45,30,34,80,0,0,0,0,0,0,Agility,4,Fist Weapon,386,580,2.70,2,False
116,Winter's Icy Embrace,45453,Chest,591,0,97,66,0,0,136,0,81,57,0,0,0,Attack Power,12,Non-Wep,0,0,0,2,False
117,Frost-bound Chain Bracers,45454,Wrist,575,0,46,49,36,33,126,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
118,Loop of the Agile,45456,Finger,0,0,63,52,45,0,76,32,0,0,0,0,0,Attack Power,8,Non-Wep,0,0,0,2,False
119,Stormedge,45458,Two-Hand,0,106,0,125,0,96,0,0,74,0,0,0,0,Stamina,0,Axe,594,892,3.50,2,False
120,Frigid Strength of Hodir,45459,Neck,0,74,0,81,0,40,0,0,48,0,0,0,0,Strength,4,Non-Wep,0,0,0,2,False
121,Drape of Icy Intent,45461,Back,162,0,64,70,0,40,102,41,0,0,0,0,0,Agility,4,Non-Wep,0,0,0,5,False
122,"Vulmir, the Northern Tempest",45463,One-Hand,0,0,52,51,0,37,74,0,0,29,0,0,0,Stamina,0,Mace,325,605,2.60,2,False
123,Belt of the Betrayed,45467,Waist,739,0,57,67,44,0,170,0,56,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
124,Sif's Promise,45469,Finger,0,72,0,72,42,0,0,0,0,42,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
125,Fate's Clutch,45471,Finger,0,51,0,96,0,0,0,0,0,41,48,39,0,Stamina,6,Non-Wep,0,0,0,2,False
126,Warhelm of the Champion,45472,Head,1966,122,0,145,86,61,0,0,0,0,0,0,0,Strength,8,Non-Wep,0,0,0,2,False
127,Embrace of the Gladiator,45473,Chest,609,0,112,127,70,0,140,85,0,0,0,0,0,Agility,8,Non-Wep,0,0,0,2,False
128,Nymph Heart Charm,45480,Neck,0,0,63,63,0,36,92,42,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
129,Gauntlets of Ruthless Reprisal,45481,Hands,1467,98,0,96,60,0,0,49,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
130,Bronze Pendant of the Vanir,45485,Neck,0,71,0,96,0,0,0,0,0,0,37,30,37,Stamina,6,Non-Wep,0,0,0,2,False
131,Handguards of Revitalization,45487,Hands,1512,84,0,127,0,0,0,0,0,0,44,44,46,Stamina,9,Non-Wep,0,0,0,2,False
132,Insanity's Grip,45489,Main Hand,0,0,52,51,34,0,80,0,0,25,0,0,0,Stamina,0,Fist Weapon,372,558,2.60,2,False
133,Waistguard of the Creator,45491,Waist,333,0,77,84,43,0,114,56,0,0,0,0,0,Agility,4,Non-Wep,0,0,0,2,False
134,Delirium's Touch,45494,Off Hand,0,0,35,54,27,0,94,0,37,0,0,0,0,Critical Strike Rating,4,Fist Weapon,197,367,1.50,2,False
135,Titanskin Cloak,45496,Back,162,48,0,96,0,24,0,0,0,31,71,0,0,Stamina,6,Non-Wep,0,0,0,2,False
136,"Lotrafen, Spear of the Damned",45498,Two-Hand,0,0,120,105,87,0,160,0,80,0,0,0,0,Stamina,0,Polearm,632,949,3.40,2,False
137,Boots of the Underdweller,45501,Feet,1614,98,0,96,60,49,0,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
138,Helm of the Faceless,45502,Head,1908,113,0,147,0,0,0,0,0,0,44,43,59,Defense Rating,8,Non-Wep,0,0,0,2,False
139,Metallic Loop of the Sufferer,45503,Finger,0,0,62,63,43,0,92,36,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
140,Darkcore Leggings,45504,Legs,1150,0,106,88,0,52,120,75,0,0,0,0,0,Attack Power,12,Non-Wep,0,0,0,2,False
141,The General's Heart,45507,Trinket,0,0,0,0,0,0,0,0,0,0,0,107,0,Stamina,0,Non-Wep,0,0,0,2,False
142,"Voldrethar, Dark Blade of Oblivion",45516,Two-Hand,0,130,0,145,86,0,0,0,69,0,0,0,0,Critical Strike Rating,6,Sword,704,"1,057",3.60,2,False
143,Pendulum of Infinity,45517,Neck,0,0,64,70,48,0,86,41,0,0,0,0,0,Agility,4,Non-Wep,0,0,0,2,False
144,Earthshaper,45521,Two-Hand,0,137,0,137,87,70,0,0,0,0,0,0,0,Stamina,0,Mace,670,"1,005",3.60,2,False
145,Blood of the Old God,45522,Trinket,0,0,0,0,0,108,0,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
146,Garona's Guise,45523,Head,480,0,98,99,0,0,130,76,0,59,0,0,0,Agility,8,Non-Wep,0,0,0,2,False
147,Chestguard of Insidious Intent,45524,Chest,1314,0,68,88,0,60,196,0,67,0,0,0,0,Agility,6,Non-Wep,0,0,0,2,False
148,Godbane Signet,45525,Finger,0,0,46,63,42,0,126,0,0,36,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
149,Dark Edge of Depravity,45533,Two-Hand,0,0,112,129,0,64,164,85,0,0,0,0,0,Agility,6,Polearm,685,"1,028",3.50,2,False
150,Seal of the Betrayed King,45534,Finger,0,74,0,81,48,40,0,0,0,0,0,0,0,Strength,4,Non-Wep,0,0,0,2,False
151,Legguards of Cunning Deception,45536,Legs,533,0,112,127,78,0,152,0,66,0,0,0,0,Agility,8,Non-Wep,0,0,0,2,False
152,Titanstone Pendant,45538,Neck,0,46,0,94,0,0,0,0,0,36,41,43,0,Stamina,0,Non-Wep,0,0,0,2,False
153,Bladebearer's Signet,45540,Finger,0,72,0,72,0,46,0,0,0,36,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
154,Greaves of the Stonewarder,45542,Feet,1614,84,0,115,0,0,0,0,0,0,44,0,36,Stamina,6,Non-Wep,0,0,0,2,False
155,Shoulders of Misfortune,45543,Shoulder,985,0,57,66,36,0,154,56,0,0,0,0,0,Haste Rating,4,Non-Wep,0,0,0,2,False
156,Relic Hunter's Cord,45547,Waist,333,0,85,84,0,57,120,0,49,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
157,Belt of the Titans,45550,Waist,1321,69,0,126,57,0,0,0,0,40,0,0,0,Strength,6,Non-Wep,0,0,0,2,False
158,Indestructible Plate Girdle,45551,Waist,1321,84,0,103,0,0,0,0,0,0,36,45,37,Stamina,9,Non-Wep,0,0,0,2,False
159,Belt of Dragons,45553,Waist,739,0,48,66,49,0,138,44,0,0,0,0,0,Attack Power,12,Non-Wep,0,0,0,2,False
160,Death-warmed Belt,45555,Waist,333,0,69,73,56,40,112,0,0,0,0,0,0,Agility,6,Non-Wep,0,0,0,2,False
161,Battlelord's Plate Boots,45559,Feet,1614,69,0,126,49,0,0,48,0,0,0,0,0,Strength,6,Non-Wep,0,0,0,2,False
162,Spiked Deathdealers,45560,Feet,1614,85,0,103,0,0,0,0,0,0,37,44,37,Stamina,9,Non-Wep,0,0,0,2,False
163,Boots of Living Scale,45562,Feet,903,0,48,66,48,0,138,0,45,0,0,0,0,Attack Power,12,Non-Wep,0,0,0,2,False
164,Footpads of Silence,45564,Feet,406,0,69,64,56,48,114,0,0,0,0,0,0,Agility,6,Non-Wep,0,0,0,2,False
165,Drape of the Skyborn,45588,Back,162,64,0,106,47,37,0,0,0,0,0,0,0,Strength,4,Non-Wep,0,0,0,2,True
166,Legplates of the Endless Void,45594,Legs,2117,128,0,156,0,0,0,0,0,0,59,51,67,Stamina,12,Non-Wep,0,0,0,2,False
167,Sabatons of Lifeless Night,45599,Feet,1663,93,0,108,64,0,0,47,0,0,0,0,0,Strength,4,Non-Wep,0,0,0,2,False
168,Brann's Signet Ring,45608,Finger,0,0,64,61,43,0,96,0,33,0,0,0,0,Agility,4,Non-Wep,0,0,0,2,True
169,Comet's Trail,45609,Trinket,0,0,0,0,0,0,240,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
170,Boundless Gaze,45610,Head,1100,0,70,100,69,66,224,0,0,0,0,0,0,Agility,8,Non-Wep,0,0,0,2,False
171,Solar Bindings,45611,Wrist,267,0,64,61,0,0,86,48,0,47,0,0,0,Agility,4,Non-Wep,0,0,0,2,False
172,Armbands of Bedlam,45663,Wrist,1059,74,0,81,48,0,0,40,0,0,0,0,0,Critical Strike Rating,6,Non-Wep,0,0,0,2,False
173,Power Enhancing Loop,45675,Finger,0,68,0,67,0,35,0,0,43,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
174,Chestplate of Vicious Potency,45676,Chest,2322,113,0,120,0,0,0,81,45,0,0,0,0,Critical Strike Rating,4,Non-Wep,0,0,0,2,False
175,Treacherous Shoulderpads,45677,Shoulder,438,0,60,61,0,57,126,0,46,0,0,0,0,Armor Penetration Rating,4,Non-Wep,0,0,0,2,False
176,Gloves of Taut Grip,45679,Hands,812,0,56,80,0,0,118,42,37,0,0,0,0,Haste Rating,4,Non-Wep,0,0,0,2,False
177,Mark of the Unyielding,45696,Neck,336,60,0,88,0,0,0,0,0,0,41,37,0,Stamina,0,Non-Wep,0,0,0,2,False
178,Shoulderguards of the Solemn Watch,45697,Shoulder,1741,79,0,119,0,0,0,0,0,0,41,0,45,Stamina,0,Non-Wep,0,0,0,2,False
179,Stoneguard,45700,One-Hand,0,35,0,69,0,24,0,0,0,0,0,31,30,Stamina,0,Sword,182,340,1.60,2,False
180,Shawl of the Shattered Giant,45704,Back,155,0,60,51,44,32,86,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
181,Archaedas' Lost Legplates,45708,Legs,2032,78,0,159,0,0,0,0,0,58,0,65,52,Dodge Rating,4,Non-Wep,0,0,0,2,False
182,Nimble Climber's Belt,45709,Waist,329,0,79,68,0,56,114,43,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
183,Ironaya's Discarded Mantle,45711,Shoulder,974,0,56,61,39,0,158,45,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
184,Chestplate of Titanic Fury,45712,Chest,2322,113,0,120,0,62,0,0,71,0,0,0,0,Critical Strike Rating,4,Non-Wep,0,0,0,2,False
185,Spiked Battleguard Choker,45819,Neck,0,65,0,93,36,45,0,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
186,Broach of the Wailing Night,45820,Neck,0,0,63,69,36,0,84,0,46,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
