Item Slot,Slots,Type,Phase,Heroic,N,Name,Item Number,Min Damage,Max Damage,Speed,Strength,Agility,Stamina,Intelligence,Spirit,Attack Power,Hit Rating,Crit Rating,Haste Rating,Armor Pen,Expertise Rating,Armor,Defense Rating,Dodge Rating,Parry Rating,Meta Gem,Red Gem,Blue Gem,Yellow Gem,Socket Bonus Amount,Socket Bonus Type,Proc,Trinket Bonus Amount,Bonus Type
1handed,1handed,mace,1,FALSE,Maexxna's Femur,Maexxna's Femur,39226,160,299,1.6,0,27,33,0,0,76,0,0,29,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,axe,1,FALSE,Last Laugh,Last Laugh,40402,192,357,1.6,37,0,73,0,0,0,24,0,0,0,0,0,31,0,34,,,,,0,Stamina,,,
1handed,mainhand,fist weapon,1,FALSE,Kel'Thuzad's Reach,Kel'Thuzad's Reach,39416,325,489,2.6,0,21,43,0,0,86,0,31,28,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Infantry Assault Blade,Infantry Assault Blade,37179,237,440,2.6,24,0,49,0,0,0,0,0,0,0,19,0,33,0,0,,,,,0,Stamina,,,
2handed,2handed,mace,1,FALSE,Inevitable Defeat,Inevitable Defeat,40406,554,831,3.4,100,80,120,0,0,0,0,0,0,0,78,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Hatestrike,Hatestrike,39270,160,299,1.6,0,25,39,0,0,76,22,27,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,mace,1,FALSE,Hammer of the Alliance Vanguard,Hammer of the Alliance Vanguard,38455,118,221,1.6,26,0,36,0,0,0,0,0,0,0,0,0,0,22,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Hailstorm,Hailstorm,40491,164,306,1.5,0,31,39,0,0,86,31,0,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,mainhand,fist weapon,1,FALSE,Greed,Greed,37693,261,485,2.6,0,29,57,0,0,80,0,0,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,mainhand,fist weapon,1,FALSE,Fist of the Deity,Fist of the Deity,37631,237,440,2.6,0,0,0,0,0,66,25,0,38,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Fang of Truth,Fang of Truth,44187,126,234,1.5,0,32,29,0,0,48,33,0,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,mace,1,FALSE,Demise,Demise,39245,522,784,3.5,90,0,103,0,0,0,45,0,89,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,axe,1,FALSE,Death's Bite,Death's Bite,39417,554,831,3.4,101,0,114,0,0,0,62,90,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,mainhand,sword,1,FALSE,Cursed Lich Blade,Cursed Lich Blade,37721,57,183,1.6,0,0,28,0,0,0,34,0,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,polearm,1,FALSE,Cryptfiend's Bite,Cryptfiend's Bite,40208,586,880,3.6,0,51,108,0,0,200,0,58,77,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,mainhand,fist weapon,1,FALSE,Crimson Steel,Crimson Steel,40429,261,485,2.6,0,19,29,0,0,78,27,22,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Corroded Saronite Woundbringer,Corroded Saronite Woundbringer,41187,144,268,1.8,0,28,21,0,0,60,0,0,0,0,14,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Corroded Saronite Edge,Corroded Saronite Edge,41186,208,387,2.6,0,0,21,0,0,60,14,0,0,0,28,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,axe,1,FALSE,Cloudstrider's Waraxe,Cloudstrider's Waraxe,37260,173,322,1.9,24,0,49,0,0,0,0,0,0,0,19,0,33,0,0,,,,,0,Stamina,,,
2handed,2handed,sword,1,FALSE,Claymore of Ancient Power,Claymore of Ancient Power,39393,522,784,3.5,0,64,78,0,0,180,0,89,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,mainhand,fist weapon,1,FALSE,Calamity's Grasp,Calamity's Grasp,40383,356,535,2.6,0,36,42,0,0,98,0,37,24,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Broken Promise,Broken Promise,40345,274,509,2.5,29,0,64,0,0,0,16,0,0,0,20,0,43,0,0,,,,,0,Stamina,,,
2handed,2handed,polearm,1,FALSE,Black Ice,Black Ice,40497,570,856,3.5,0,108,88,0,0,134,72,0,58,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,axe,1,FALSE,Betrayer of Humanity,Betrayer of Humanity,40384,606,910,3.4,0,66,121,0,0,226,0,87,57,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Avool's Sword of Jin,Avool's Sword of Jin,44311,150,280,1.5,0,38,36,0,0,62,31,0,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,sword,1,FALSE,Armageddon,Armageddon,40343,554,831,3.4,101,0,108,0,0,0,0,58,100,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,mace,1,FALSE,Angry Dread,Angry Dread,40189,274,509,2.5,0,31,42,0,0,86,25,29,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,sword,0,FALSE,Brutal Gladiator's Greatsword,Brutal Gladiator's Greatsword,35015,404,606,3.6,50,0,66,0,0,0,19,50,0,14,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,0,FALSE,Dragonscale-Encrusted Longblade,Dragonscale-Encrusted Longblade,34164,113,211,1.5,0,0,36,0,0,0,0,0,25,0,25,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,0,FALSE,Muramasa,Muramasa,34214,196,365,2.6,0,0,27,0,0,0,17,0,35,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,sword,0,FALSE,Apolyon the Soul-Render,Apolyon the Soul-Render,34247,404,607,3.4,0,0,75,0,0,126,0,42,32,0,0,0,0,0,0,,,,,6,Stamina,,,
1handed,mainhand,fist weapon,0,FALSE,Hand of the Deceiver,Hand of the Deceiver,34331,238,357,2.6,0,0,28,0,0,54,0,0,0,0,0,0,0,0,0,,,,,6,Attack Power,,,
1handed,offhand,fist weapon,0,FALSE,Mounting Vengeance,Mounting Vengeance,34346,196,365,2.6,0,0,22,0,0,46,0,0,0,0,0,0,0,0,0,,,,,3,Strength,,,
1handed,offhand,mace,0,FALSE,Brutal Gladiator's Bonecracker,Brutal Gladiator's Bonecracker,34988,113,211,1.5,0,0,31,0,0,38,9,22,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,mace,0,FALSE,Brutal Gladiator's Bonegrinder,Brutal Gladiator's Bonegrinder,34989,404,606,3.6,50,0,66,0,0,0,19,50,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,offhand,axe,0,FALSE,Brutal Gladiator's Chopper,Brutal Gladiator's Chopper,34995,196,365,2.6,0,0,31,0,0,38,9,22,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,axe,0,FALSE,Brutal Gladiator's Cleaver,Brutal Gladiator's Cleaver,34996,196,365,2.6,0,0,31,0,0,38,9,22,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,axe,0,FALSE,Brutal Gladiator's Decapitator,Brutal Gladiator's Decapitator,34997,404,606,3.6,0,0,66,0,0,100,19,50,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,offhand,axe,0,FALSE,Brutal Gladiator's Hacker,Brutal Gladiator's Hacker,35017,113,211,1.5,0,0,31,0,0,38,9,22,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,offhand,fist weapon,0,FALSE,Brutal Gladiator's Left Render,Brutal Gladiator's Left Render,35037,196,365,2.6,0,0,31,0,0,38,9,22,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,offhand,fist weapon,0,FALSE,Brutal Gladiator's Left Ripper,Brutal Gladiator's Left Ripper,35038,113,211,1.5,0,0,31,0,0,38,9,22,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,mace,0,FALSE,Brutal Gladiator's Pummeler,Brutal Gladiator's Pummeler,35071,196,365,2.6,0,0,31,0,0,38,9,22,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,offhand,sword,0,FALSE,Brutal Gladiator's Quickblade,Brutal Gladiator's Quickblade,35072,113,211,1.5,0,0,31,0,0,38,9,22,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,mainhand,fist weapon,0,FALSE,Brutal Gladiator's Right Ripper,Brutal Gladiator's Right Ripper,35076,196,365,2.6,0,0,31,0,0,38,9,22,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,0,FALSE,Brutal Gladiator's Slicer,Brutal Gladiator's Slicer,35101,224,337,2.6,0,0,31,0,0,38,9,22,0,0,0,0,0,0,0,,,,,0,Stamina,,,
